ARABICA RUIM,ARABICA BOM,CONILLON
771.0,596.0,449.0
774.0,603.0,451.0
773.0,609.0,452.0
777.0,607.0,453.0
771.0,607.0,452.0
780.0,612.0,465.0
792.0,623.0,474.0
786.0,619.0,468.0
798.0,623.0,473.0
793.0,619.0,476.0
788.0,615.0,485.0
785.0,615.0,484.0
779.0,611.0,488.0
775.0,618.0,497.0
788.0,620.0,498.0
787.0,618.0,498.0
790.0,625.0,501.0
786.0,622.0,500.0
793.0,628.0,502.0
792.0,627.0,503.0
800.0,632.0,506.0
795.0,628.0,504.0
813.0,643.0,514.0
828.0,658.0,526.0
870.0,683.0,536.0
878.0,685.0,542.0
933.0,738.0,558.0
928.0,738.0,561.0
933.0,743.0,567.0
933.0,746.0,565.0
875.0,718.0,554.0
873.0,710.0,553.0
885.0,729.0,574.0
883.0,740.0,574.0
887.0,742.0,574.0
888.0,742.0,574.0
893.0,752.0,582.0
899.0,760.0,591.0
907.0,785.0,596.0
917.0,793.0,601.0
917.0,793.0,603.0
923.0,796.0,603.0
922.0,796.0,603.0
940.0,810.0,608.0
941.0,812.0,615.0
948.0,817.0,618.0
947.0,817.0,623.0
953.0,827.0,630.0
970.0,853.0,633.0
970.0,870.0,645.0
985.0,890.0,652.0
1003.0,910.0,660.0
1000.0,903.0,660.0
1015.0,928.0,672.0
1016.0,940.0,680.0
1016.0,950.0,685.0
1016.0,950.0,698.0
1007.0,940.0,700.0
1002.0,935.0,698.0
1000.0,932.0,715.0
1006.0,942.0,720.0
1007.0,939.0,724.0
1010.0,947.0,726.0
1014.0,950.0,732.0
1010.0,943.0,740.0
1011.0,945.0,747.0
1012.0,948.0,749.0
